from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:426153,IDFM:462942,2,219
IDFM:22396,IDFM:27727,2,243
IDFM:425703,IDFM:4500,2,168
IDFM:35985,IDFM:485715,2,119
IDFM:462442,IDFM:427347,2,250
IDFM:4281,IDFM:20285,2,217
IDFM:25003,IDFM:5823,2,60
IDFM:463792,IDFM:22754,2,120
IDFM:9111,IDFM:22010,2,200
IDFM:24059,IDFM:28364,2,349
IDFM:22129,IDFM:37369,2,258
IDFM:13913,IDFM:22316,2,366
IDFM:472255,IDFM:33241,2,37
IDFM:26985,IDFM:34133,2,328
IDFM:19546,IDFM:37953,2,342
IDFM:22032,IDFM:37928,2,372
IDFM:490680,IDFM:490679,2,308
IDFM:22039,IDFM:22754,2,295
IDFM:426494,IDFM:426484,2,283
IDFM:5902,IDFM:5908,2,262
IDFM:20550,IDFM:23895,2,100
IDFM:488666,IDFM:488676,2,218
IDFM:38196,IDFM:419502,2,373
IDFM:monomodalStopPlace:47909,IDFM:30909,2,219
IDFM:486826,IDFM:12118,2,335
IDFM:477660,IDFM:27299,2,369
IDFM:24511,IDFM:25560,2,359
IDFM:463551,IDFM:479844,2,99
IDFM:18416,IDFM:18417,2,127
IDFM:491487,IDFM:20002,2,60
IDFM:28937,IDFM:36900,2,349
IDFM:463791,IDFM:26757,2,354
IDFM:3780,IDFM:3779,2,96
IDFM:monomodalStopPlace:473377,IDFM:420823,2,309
IDFM:16694,IDFM:16669,2,254
IDFM:10138,IDFM:8949,2,60
IDFM:413366,IDFM:38788,2,258
IDFM:39603,IDFM:28796,2,317
IDFM:21459,IDFM:480408,2,79
IDFM:492475,IDFM:486973,2,104
IDFM:35812,IDFM:39579,2,85
IDFM:471030,IDFM:37565,2,170
IDFM:29242,IDFM:29250,2,193
IDFM:21698,IDFM:480173,2,338
IDFM:31307,IDFM:31306,2,60
IDFM:28544,IDFM:21433,2,222
IDFM:426499,IDFM:413270,2,207
IDFM:477503,IDFM:479804,2,168
IDFM:23611,IDFM:22790,2,331
IDFM:23867,IDFM:423185,2,122
IDFM:422365,IDFM:5422,2,357
IDFM:491718,IDFM:494271,2,139
IDFM:21291,IDFM:16912,2,60
IDFM:485615,IDFM:2761,2,60
IDFM:18729,IDFM:491528,2,181
IDFM:4731,IDFM:4730,2,93
