route_id,route_short_name,route_type,route_color
IDFM:C02235,2324,3,38761D
IDFM:C02160,2482,3,82DC73
IDFM:C02096,2453,3,640082
IDFM:C02095,2452,3,82DC73
IDFM:C02073,2461,3,82C8E6
IDFM:C02074,2462,3,6E491E
IDFM:C02109,3143,3,FF5A00
IDFM:C02133,9,3,19B200
IDFM:C02135,7s,3,97BF35
IDFM:C02136,7,3,97BF35
IDFM:C02137,4,3,DC9015
IDFM:C02138,4s,3,DC9015
IDFM:C02139,8s,3,8C5E23
IDFM:C02142,L,3,8CC7FF
IDFM:C02159,3421,3,0A0082
IDFM:C02237,2325,3,FF9900
IDFM:C00832,3501,3,DC9600
IDFM:C01586,618,3,E3B32A
IDFM:C00683,4521,3,FFBE00
IDFM:C00464,30-38,3,8C072F
IDFM:C00467,30-43,3,E6007E
IDFM:C02104,4156,3,00A092
IDFM:C00089,4514,3,82C8E6
IDFM:C00915,2313,3,097D3B
IDFM:C00040,6178,3,FF1400
IDFM:C01683,T4,3,DC9600
IDFM:C01672,4216,3,FF82B4
IDFM:C01044,3120,3,82C8E6
IDFM:C01045,3124,3,FF5A00
IDFM:C01047,2464,3,0055C8
IDFM:C01052,3132,3,00643C
IDFM:C01053,3133,3,FF82B4
IDFM:C01057,2423,3,00643C
IDFM:C01393,N52,3,D2D200
IDFM:C00253,2110,3,D282BE
IDFM:C00245,2101,3,FF1400
IDFM:C00823,3543,3,00643C
IDFM:C01243,251,3,FF1400
IDFM:C01702,6162,3,FF1400
IDFM:C01081,31,3,FFBE00
IDFM:C01084,39,3,A0006E
IDFM:C01085,42,3,FFBE00
IDFM:C01149,120,3,D282BE
IDFM:C01719,5267,3,9B993B
IDFM:C01720,5277,3,CEC92B
IDFM:C01721,5307,3,00A092
IDFM:C01125,94,3,A0006E
IDFM:C01127,96,3,DC9600
IDFM:C01805,6134,3,6E491E
IDFM:C00695,6204,3,FF5A00
IDFM:C01687,6131,3,82C8E6
IDFM:C00336,M,3,8CE39C
IDFM:C00191,11,3,C04191
IDFM:C01130,101,3,FFBE00
IDFM:C01131,102,3,FFBE00
IDFM:C01191,170,3,82C8E6
IDFM:C01194,173,3,0055C8
IDFM:C01195,174,3,00643C
IDFM:C01196,175,3,0055C8
IDFM:C01208,187,3,640082
IDFM:C01494,3407,3,FFBE00
IDFM:C01637,N150,3,ED1B2A
IDFM:C01777,2168,3,FF5A00
IDFM:C01209,188,3,D282BE
IDFM:C01210,189,3,FF5A00
IDFM:C01211,190,3,6E491E
IDFM:C01212,191,3,FF82B4
IDFM:C01240,244,3,A0006E
IDFM:C01169,144,3,D282BE
IDFM:C01271,299,3,FF5A00
IDFM:C01495,4531,3,FF1400
IDFM:C01257,276,3,FF1400
IDFM:C01258,278,3,D282BE
IDFM:C02185,4462,3,00B397
IDFM:C02186,4463,3,F28E42
IDFM:C00393,1101,3,640082
IDFM:C01260,281,3,DC9600
IDFM:C01262,285,3,A0006E
IDFM:C01263,286,3,D282BE
IDFM:C01264,289,3,A0006E
IDFM:C01273,302,3,FFBE00
IDFM:C01686,3308,3,78C696
IDFM:C01684,T5,0,640082
IDFM:C01280,317,3,D2D200
IDFM:C00639,EX 19,3,3C91DC
IDFM:C01274,303,3,6E6E00
IDFM:C01275,304,3,D2D200
IDFM:C01277,308,3,82DC73
IDFM:C00640,6542,3,82C8E6
IDFM:C02202,3411,3,640082
IDFM:C02206,1117,3,FF1400
IDFM:C01278,310,3,D2D200
IDFM:C01279,312,3,FF5A00
IDFM:C01298,350,3,662D91
IDFM:C01322,399,3,82C8E6
IDFM:C01676,5131,3,D282BE
IDFM:C01677,5130,3,FF82B4
IDFM:C01323,421,3,00643C
IDFM:C01324,467,3,6E6E00
IDFM:C01326,485,3,FF5A00
IDFM:C01328,492,3,FFBE00
IDFM:C01337,AUDONIE,3,DF9AB1
IDFM:C00187,5333,3,B80C4B
IDFM:C00130,6562,3,A50034
IDFM:C01338,EOLIEN,3,82DC73
IDFM:C01735,1305,3,82C8E6
IDFM:C00479,Navette,3,008FD3
IDFM:C00485,1520,3,8AD3DE
IDFM:C01488,471,3,0055C8
IDFM:C01509,3213,3,82DC73
IDFM:C01725,3217,3,82C8E6
IDFM:C01726,3259,3,6E491E
IDFM:C01510,3214,3,DC9600
IDFM:C01524,5120,3,00A092
IDFM:C00292,1,3,8CC7FF
IDFM:C00294,2,3,FF5A00
IDFM:C01527,5104,3,A50034
IDFM:C01528,5105,3,FF1400
IDFM:C01530,5107,3,F58F53
IDFM:C01543,7805,3,3C91DC
IDFM:C01549,702,3,3BB2FF
IDFM:C01550,703,3,3BB2FF
IDFM:C00497,5146,3,82DC73
IDFM:C01086,43,3,FF1400
IDFM:C01784,6504,3,A50034
IDFM:C00734,5476,3,006FB6
IDFM:C00339,401,3,82C8E6
IDFM:C00216,45,3,F3A4BA
IDFM:C00498,5363,3,662D91
IDFM:C01253,270,3,FF82B4
IDFM:C00765,1236,3,BB4B9B
IDFM:C01245,253,3,FFBE00
IDFM:C01563,9102,3,3BB2FF
IDFM:C01565,4504,3,FF1400
